Label,x1_L,y1_L,x2_L,y2_L,x3_L,y3_L,x4_L,y4_L,x5_L,y5_L,x6_L,y6_L,x7_L,y7_L,x8_L,y8_L,x9_L,y9_L,x10_L,y10_L,x11_L,y11_L,x12_L,y12_L,x13_L,y13_L,x14_L,y14_L,x15_L,y15_L,x16_L,y16_L,x17_L,y17_L,x18_L,y18_L,x19_L,y19_L,x20_L,y20_L,x21_L,y21_L,x1_R,y1_R,x2_R,y2_R,x3_R,y3_R,x4_R,y4_R,x5_R,y5_R,x6_R,y6_R,x7_R,y7_R,x8_R,y8_R,x9_R,y9_R,x10_R,y10_R,x11_R,y11_R,x12_R,y12_R,x13_R,y13_R,x14_R,y14_R,x15_R,y15_R,x16_R,y16_R,x17_R,y17_R,x18_R,y18_R,x19_R,y19_R,x20_R,y20_R,x21_R,y21_R
Dark,0.0,0.0,0.28890598472375706,-0.15235480159168624,0.44383182308128616,-0.30978840110328637,0.5890926492637788,-0.4305310144226593,0.6424906641335084,-0.6290230551191265,0.3133251556295015,-0.9049266353545959,0.4791048711007351,-1.038753133878933,0.5762659642548131,-0.8841140685492944,0.6191540796743507,-0.6965649173024034,0.26802018777164416,-0.9634132960193422,0.40204398019940346,-1.3753873301895725,0.5043432473582737,-1.639556326555022,0.5773725677430631,-1.8421426304686626,0.21343352724909778,-0.957914617234883,0.32784969006488424,-1.3778713862051861,0.40384264986669094,-1.6534697850078295,0.45436113465736455,-1.870044677320849,0.1720345765134866,-0.8976536725777334,0.2723020669077857,-1.2252166931853938,0.318618025600865,-1.4674874679036203,0.35014250562870297,-1.6641482438283486,1.4606768836443742,-0.24751264991689265,1.1379135716604432,-0.3030911858615727,0.98303908180064,-0.4259131462719973,0.8384839037618577,-0.5017932090039378,0.7023999533449585,-0.6029985122581993,1.094789681924948,-1.038867824131424,0.8864277042972626,-1.0511753643897968,0.7762864056299197,-0.8923577467946626,0.7332842259986743,-0.7513036795595673,1.1155425390899243,-1.1366518257570375,0.8785211398550526,-1.4024685080791326,0.7220565425793833,-1.5687727460216265,0.6329428020971679,-1.716778011362215,1.1245835717817043,-1.1343737693564766,0.9081969935421959,-1.46232348845385,0.7727221662107029,-1.668282198309689,0.7028459950431991,-1.8404613425123706,1.0885272662161296,-1.0712511778782186,0.9307224970904376,-1.3474516456907064,0.8420033574128851,-1.5385122697374378,0.77633111761202,-1.7196620580148818
Dark,0.0,0.0,0.28716230771576395,-0.12280016193674113,0.44929211480521253,-0.2779668532291454,0.593516174577164,-0.40676037879028243,0.6458532663759186,-0.6154148707965239,0.3175498819202159,-0.8850461240811034,0.4792569944059232,-1.0311254379226737,0.5736670708215886,-0.8876856406951642,0.6157523829378134,-0.7130647175389895,0.27732194491194645,-0.9607770495126615,0.4159434332453715,-1.3561465576195773,0.5203955680355612,-1.604058248404141,0.5970567795704801,-1.7932110241961385,0.22264571711996836,-0.9774411861296122,0.3433735466001055,-1.380023591009647,0.42601739502505365,-1.6429070608894563,0.48385370371058417,-1.8495057322756898,0.17357237293007316,-0.9389396867157477,0.2734277918036003,-1.2662222500365272,0.32683635492089275,-1.4989038121588956,0.3674294703803794,-1.6861556231121926,1.4610739016158207,-0.1978150918560236,1.1433639680330094,-0.24979958982181688,0.9834813580785882,-0.385973993994489,0.8369701523681756,-0.47127429026373074,0.7016494427242437,-0.5889749088235473,1.0914247721832038,-0.995700622350357,0.8935882757338557,-1.0226350792368901,0.7782725102239645,-0.8717115088325484,0.7271303178727248,-0.7309206899137705,1.1109748110457975,-1.0984735289985914,0.8917619118849186,-1.3885036895898988,0.7443643092164771,-1.5635701022491566,0.6545362505537929,-1.720490960895457,1.1275778907115461,-1.1191440488412405,0.9257779622689606,-1.4629158421193713,0.7965689024600004,-1.677086902802976,0.7285800448688697,-1.8503143197892375,1.1072187717132307,-1.0848559886194473,0.957033368885671,-1.3725692658871422,0.8700916320118411,-1.563606160027616,0.8066300940926291,-1.7404685111149962
Dark,0.0,0.0,0.28813473594303185,-0.1022069292602999,0.45570821623515223,-0.25571343970538035,0.5989286955227534,-0.3893650050334607,0.6500846981870091,-0.6052999276191541,0.32294338987985743,-0.8685536461793845,0.48316675821400096,-1.0226546271281167,0.5757379703096791,-0.8875167201165209,0.617050568882695,-0.7233473589459442,0.28630657360765793,-0.9581380620291853,0.42947502905661594,-1.3387327148608081,0.5360537359284999,-1.5753724818671928,0.6160169853928432,-1.7557434791605036,0.23177067436057175,-0.9909843747063192,0.357257781823074,-1.3788733979938235,0.4441847368238612,-1.632956698605223,0.5071907944534402,-1.8337514922398337,0.1768301768721591,-0.9673381289661396,0.27729368898500606,-1.2922602118192963,0.3368064913902977,-1.517043881891578,0.38507225415683394,-1.695778249857118,1.461564251880381,-0.16039980591841346,1.1485740408249558,-0.20972184142149994,0.9840701130801528,-0.3563616729571062,0.8363419146862553,-0.44764736593056076,0.7035209856484598,-0.5770964512796527,1.088873378641322,-0.9629458787563714,0.90070928962373,-1.0013094385638777,0.7825720079262238,-0.8563714306429963,0.7260144051320105,-0.7157700456112293,1.1084352225575147,-1.0707670639973283,0.9053037694293853,-1.3789976777235977,0.7646577427535908,-1.5594633358300942,0.6738363752324583,-1.7214200899931331,1.131158950525931,-1.1076460623101665,0.9423989024362441,-1.4623941824451294,0.8179169399188274,-1.6815273814166816,0.7509572148743443,-1.8538616807209245,1.12215597840299,-1.0931320376124853,0.9785845671589035,-1.3884203621876443,0.8928280795160112,-1.5786047550050153,0.8308663408704026,-1.751800588417262
Dark,0.0,0.0,0.28738032368936556,-0.08541850572964674,0.4591324096713054,-0.23754054365928928,0.6014963727069789,-0.3742332752721995,0.6518647086584614,-0.5948317709632269,0.3261131815551298,-0.8559575376512963,0.4858051930853477,-1.0151909792892735,0.5767429194793887,-0.8854901971089846,0.6169467687233591,-0.7277272910419347,0.2925389528064602,-0.9562536070995497,0.43895116574064375,-1.327819863759003,0.5471825491465488,-1.5568883858336604,0.6291929474083733,-1.7304606437212684,0.23833297828478925,-1.0008244498213312,0.36703039747349475,-1.3797040467609414,0.45704269618237486,-1.627407369530145,0.5238193366198167,-1.8232545505482407,0.1789614577594647,-0.987857135245018,0.2794573409559508,-1.310886130447823,0.3426553702889363,-1.529778808097919,0.3956539792788202,-1.7021706172015405,1.4604646501930008,-0.13219670039745923,1.15134596679057,-0.17900566527724512,0.9834534876383902,-0.3338181078933253,0.8352141434786308,-0.4300986461127008,0.7040349143312414,-0.567687501745614,1.0865110596043448,-0.938912935753793,0.9053748185093646,-0.9852380433595683,0.7855251675218298,-0.8440435827521262,0.7250371581153962,-0.7041586165018954,1.1058768438303281,-1.0489584425874328,0.9129991130746306,-1.369283368472584,0.7783287778819399,-1.5551844335491236,0.6879857658697833,-1.7233487196377295,1.1333410191322868,-1.097227948390441,0.9532904743422451,-1.4596535712045182,0.8326918515186783,-1.6831364586737223,0.7667977121980014,-1.8566442078110592,1.1339966781819035,-1.0976175665113463,0.995460165983762,-1.3992495333705666,0.9108334750832333,-1.5895786964150203,0.8503605839632842,-1.7608560156032094
Dark,0.0,0.0,0.28914684813405683,-0.07206257229284542,0.4626056571728438,-0.22210058060865406,0.6063418950008824,-0.3603890261718296,0.6565981118793539,-0.584196203064696,0.3291029824437602,-0.8462002424414643,0.4889264271407726,-1.0082463644557915,0.5802490460291383,-0.8831833103596407,0.6209076039866247,-0.7304073352657866,0.2977153257664987,-0.9546546940144105,0.4474972528510287,-1.3199130574919977,0.5588152560969432,-1.5434136140751331,0.6442986580247111,-1.7108006551046058,0.2439510123676152,-1.0085835532284093,0.3755153243156784,-1.3804226449842,0.4688262742007654,-1.6232029567778399,0.5392161400177032,-1.8149318392394276,0.18203841616479136,-1.004006156053779,0.283501777328508,-1.325908283405506,0.3501991476303547,-1.540069855696046,0.4075784198051528,-1.7062787021959036,1.4639169350952808,-0.10760366901476882,1.1573049392548949,-0.15249882323862407,0.9858807685464184,-0.31314134827114426,0.8356933582712951,-0.4142298825482582,0.70505280908575,-0.5600134607733412,1.087971379246223,-0.9178089449834954,0.9113728509186109,-0.9718462207453598,0.7899121909414898,-0.8340667324233082,0.7264737014200789,-0.6944583811810852,1.108113331931868,-1.0308044998760446,0.9241640453314115,-1.3606629366979441,0.7933543853113328,-1.5496271040378666,0.7022001548349378,-1.7214561492741907,1.1392780580178405,-1.0880144851891487,0.9662556369553804,-1.456074345713588,0.8476465201707093,-1.6819160253855399,0.7816106498354437,-1.8534020194449525,1.1463689479868713,-1.0993234924224695,1.011355107431423,-1.4053436324805402,0.927975026893384,-1.5956623508367624,0.8687444078274973,-1.7649329297619587
Dark,0.0,0.0,0.2909400742818192,-0.06201076042527479,0.4652682328422566,-0.20996389503033142,0.6098762253686936,-0.3498741477631169,0.659067692684788,-0.5769271216508836,0.33206915850975516,-0.8388135627681911,0.4917135397081891,-1.0035525720545462,0.5831797004615608,-0.8811918725099396,0.6234689736790991,-0.7311043269944049,0.30207438763940136,-0.9532843564919551,0.4543177854420159,-1.314005848032488,0.5680333046670454,-1.533665679070514,0.6561901037300701,-1.6967434001359365,0.24863096243898375,-1.0142638328179603,0.38188648758335514,-1.381131654073658,0.4776479568031748,-1.620854345982389,0.5505242561370413,-1.8100537131186671,0.18490585643556848,-1.0155201720207583,0.2873043610933073,-1.3362288655125059,0.35655399928004655,-1.5471393491904764,0.41704484575755774,-1.7089702086320613,1.464823981171013,-0.09081173681004917,1.1616644609625737,-0.13212348998759335,0.9882299718129836,-0.29741160902792846,0.8367420491146573,-0.40113863863068844,0.70741750668353,-0.5520252222636821,1.0898891711090046,-0.9029871408748293,0.9165471402888608,-0.9624154195651973,0.793835040520296,-0.8269357733964754,0.7285760219828459,-0.6869463265195334,1.1098776734014306,-1.0177594461982629,0.9312737583134321,-1.3540420951060592,0.8034797299258343,-1.543882572953253,0.7122125977935255,-1.717253594128642,1.1428240042215103,-1.0825778262896506,0.9746862851515107,-1.4544793320704068,0.8574229819489324,-1.6807219169672527,0.7914543765697367,-1.8507128626230611,1.1539042433126017,-1.1028453944729224,1.0218600917516387,-1.410331736417403,0.9385355601602022,-1.5990233935676552,0.8796132554859412,-1.765158782237051
Dark,0.0,0.0,0.29218419802664286,-0.05593058697067573,0.466824079174149,-0.20439400061512444,0.6115167745646765,-0.34561100951489776,0.6601589313813698,-0.5743802794515644,0.33301163474847767,-0.8341479872858818,0.49288410843890285,-1.001829325379855,0.5839774944420452,-0.8812400575563973,0.6232027578091861,-0.7330151367946173,0.3041394361550596,-0.9526275260432499,0.45802956809825596,-1.3090474662613298,0.5731656374791415,-1.5245908042793264,0.6625872610056468,-1.683463615129619,0.2512732669830943,-1.0183190625513558,0.3858243055180136,-1.380173859272094,0.4834253391980987,-1.6166558263857993,0.5578102406137418,-1.8030446070801325,0.186660254909514,-1.024209734036952,0.2895055813013988,-1.3441439793398664,0.3603194940164229,-1.5532643295148294,0.42238198029844853,-1.712758822947488,1.4634959937327852,-0.08105802306963014,1.163280739930283,-0.11785832422668091,0.9873144797346809,-0.28742239398689623,0.8349393044552278,-0.39487009392397715,0.7075361224300566,-0.5505091166377233,1.0876539647751786,-0.8934229229418582,0.9173597183409129,-0.9576877498429257,0.795104896774557,-0.8231002825415601,0.7290389845486668,-0.6836170568372036,1.1079105591408975,-1.0092976303068304,0.9339253188048167,-1.3481494946945138,0.8083129701431039,-1.537882227953652,0.7165930600660272,-1.7116616309964403,1.1429474291962414,-1.0782445906384843,0.9790671455586666,-1.451127509403289,0.8627969415961919,-1.6771871825596585,0.796384891032347,-1.8454068227561773,1.1578855998895918,-1.1042458093691276,1.028604725730932,-1.4131659189409447,0.9460535900277788,-1.6006228507568896,0.8879864181320418,-1.7649004508727784
Dark,0.0,0.0,0.29191763786119196,-0.05336985811833547,0.46782724870293957,-0.20105524362989624,0.6124481124931924,-0.3430761642610005,0.6612663263142033,-0.5734777651322904,0.33504090283641585,-0.8307924523032361,0.4949482120865821,-0.9996819285791138,0.5858886283285879,-0.880757109318545,0.6256152762688767,-0.7360312684774222,0.30736366509007335,-0.9515921276378853,0.46274063221373596,-1.3045501444350833,0.5786074571528389,-1.518153949927058,0.6690246709417129,-1.6758318943582786,0.25448954860181827,-1.0201557235954013,0.3904428445646656,-1.378116377933339,0.48904440264762006,-1.6119969796711549,0.5646696432133205,-1.7973742926249057,0.18872822114626578,-1.0283355296551915,0.29244299634340365,-1.3480582515413184,0.3646777545410851,-1.5552548216273525,0.42842783340183016,-1.7131630656539196,1.4607973536719336,-0.07692221788276547,1.1639010372435497,-0.11063308612182234,0.9868669115961597,-0.28245616102943216,0.8342071271835315,-0.3915922897435602,0.7078802299066455,-0.5494047797785598,1.0866970189781942,-0.8884117398134471,0.9185467748348429,-0.955085882471959,0.7959361569054257,-0.8229572245609287,0.7291434900981959,-0.6841153233073022,1.1068713868659363,-1.0053705423733288,0.9355065671901961,-1.345624990894496,0.8113589161123026,-1.534975816433092,0.7198181314072787,-1.7089512252484487,1.142817430655888,-1.077660514592522,0.9814975368396905,-1.4509972331306134,0.865744164839576,-1.6775921053718803,0.7992660094178297,-1.8457206354739184,1.159840250189676,-1.107015157233366,1.0319640770007574,-1.4145648039000054,0.9489941189560123,-1.600784636330393,0.8906830033253798,-1.7637551089353298
Dark,0.0,0.0,0.29178246937046176,-0.05162953805333979,0.4682082055196176,-0.1994680327453667,0.6133998071998066,-0.34197041482821744,0.6630874755720062,-0.572960056276195,0.336211559753088,-0.8291191403368623,0.496763406138694,-0.9977266136539723,0.5876968189464284,-0.8786899265136151,0.6274246873488484,-0.734407915639622,0.30923436450303393,-0.9509858609939501,0.46602354587423217,-1.3035204791184756,0.582179483748562,-1.5162242536690078,0.673365944422762,-1.6732486587731017,0.256649968701679,-1.0214858278504901,0.39438940500195174,-1.3790539957702814,0.49433834897960227,-1.612589972647578,0.5714101012780293,-1.7974120302029049,0.19074805308496187,-1.0311301973583122,0.2959139252581984,-1.3512994018874838,0.3692463233918256,-1.5578156388509392,0.43380062937655706,-1.714218060877614,1.4624382973034578,-0.07477869989791798,1.1657772496215426,-0.105806823390841,0.98693229141663,-0.2790978663213171,0.8335362389349249,-0.3897154543752384,0.7080706653133775,-0.5507621955727526,1.0861550523704693,-0.8850701242557528,0.9192026661692818,-0.9535922039380681,0.7970593036820286,-0.8217021057719462,0.73007733837671,-0.6835354443924044,1.1066005900174167,-1.0031617124238268,0.9364615146105786,-1.344395482949555,0.8121210066522474,-1.5339558343855855,0.7197714339539686,-1.7074298558736243,1.1434081467720967,-1.077788228540357,0.9830058377406338,-1.450984802619599,0.8669502011528529,-1.6768994062712046,0.7999437910712243,-1.843979547721831,1.1617043821249142,-1.1099635753486798,1.0344407596706342,-1.4170072396470021,0.951207965389396,-1.6020272877651849,0.8930810976001606,-1.7643754561161822
Dark,0.0,0.0,0.29335446093228174,-0.04932293186281257,0.46964163449786006,-0.19797348843247675,0.6153891281797815,-0.34164878886888866,0.6649986566397359,-0.5725694996181362,0.3390388044212012,-0.8259567542480238,0.4988730672580938,-0.9948914278485579,0.5896459867501822,-0.8781455114465652,0.6292417198987931,-0.7354871854448576,0.31211687917883996,-0.9500437114847198,0.46943481696048533,-1.302716026148977,0.5861876633935953,-1.514424869362594,0.6782465428129811,-1.6697727494113561,0.25949484214847934,-1.023102435645603,0.39790149250447127,-1.3799542268365266,0.49908007248833963,-1.6119865439167782,0.5774402693979805,-1.7951290736428411,0.1932516324201908,-1.0345929896930592,0.2996759815171549,-1.3546081571262036,0.3739524293342108,-1.560100294845695,0.4393149632425473,-1.7150905657302213,1.4626480525958576,-0.07049375661887816,1.1668197442550543,-0.10266969396600972,0.9887004765719514,-0.2755078154522079,0.8353813726899161,-0.38624965029527164,0.7098444825941131,-0.5482305019691732,1.086198512592062,-0.8826126782860909,0.9201664439117244,-0.9511525299820356,0.7975229428816827,-0.8188642497934728,0.729059075256791,-0.6811546267659746,1.106442786087193,-1.000195613483561,0.9360639313331044,-1.3428642527350305,0.8119921613868382,-1.533668742663471,0.7193975621882712,-1.7078868876129663,1.1444161373654995,-1.0759814126496716,0.9843874465033557,-1.4512054298779011,0.869024755424869,-1.6792997367086606,0.8018234493060596,-1.8484552294507801,1.1651222687984342,-1.1095993614594348,1.0382961935048207,-1.4186096666352597,0.9550973283287163,-1.6048427370845226,0.8965747490230211,-1.7684142286563658
